,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
10607,,99442907.78203873,389229068.71292466,30700000.0,2614.702293744193,0.0051360306688533214,0.0026592592321762415,0.018006838611234536
10608,,64180478.17573181,389229068.71292466,30700000.0,1461.1965733306647,0.00040589011184068326,0.0003258827517698797,0.015018671948993879
10609,,62372403.67902325,389229068.71292466,30700000.0,1848.5603500616508,0.0,0.007807967470753733,0.0
10610,,330553671.16293967,389229068.71292466,30700000.0,12334.381794775414,0.08713255881914253,0.0,0.04553778977303482
10611,,5499589.743645955,389229068.71292466,30700000.0,181.1811934241194,0.0018464769230549533,0.0,0.00048415187546997033
10612,,86494096.6856402,389229068.71292466,30700000.0,2862.1036787109724,0.03369851174301741,0.0,0.0
10613,,103301213.492778,389229068.71292466,30700000.0,4026.7761138974556,0.012090636237542864,0.013178986285050586,0.0
10614,,305054681.4901907,389229068.71292466,30700000.0,8046.437496537465,0.0018185837775423989,0.000798819120485001,0.08043606639576094
10615,,153396813.54030564,389229068.71292466,30700000.0,5398.748804100478,0.0,0.0008409067684354192,0.05544847116336922
10616,,65184761.48599088,389229068.71292466,30700000.0,1872.2441910797302,0.01775754804933376,0.0,0.004481205233431765
10617,,44161150.6822572,389229068.71292466,30700000.0,1612.5411689310706,0.001863782954125356,0.0,0.016168352182730446
10618,,30523694.0290011,389229068.71292466,30700000.0,751.7234973894315,0.0018692595407621341,0.0008794108346652976,0.005247293811736011
10619,,112388800.0840496,389229068.71292466,30700000.0,2567.258842878741,0.018192444913607404,0.003274397486524119,0.00415014160668964
10620,,60131278.10732873,389229068.71292466,30700000.0,2729.0251787495154,0.0,0.0003444728221722725,0.029054085722426796
10621,,5495926.95362653,389229068.71292466,30700000.0,234.20685006408576,0.0018450279458642946,0.0005528040992931619,0.0
10622,,14134861.39685258,389229068.71292466,30700000.0,414.4395985471531,0.0,0.0,0.004603799787745012
10623,,461206638.752622,389229068.71292466,30700000.0,18412.439747227283,0.0018385037457198494,0.0003137029314065984,0.17950000260760965
10624,,67452539.65455186,389229068.71292466,30700000.0,2441.413344536296,0.005184770320872423,0.0,0.022278249428138778
10625,,66396412.39378532,389229068.71292466,30700000.0,1511.3291488396567,0.0,0.00033440742113970774,0.01600974712556625
10626,,30899960.059908498,389229068.71292466,30700000.0,1001.4461538287785,0.001867944463051701,0.0,0.00962937616381341
10627,,985031388.3709992,389229068.71292466,30700000.0,31485.441199477842,0.0,0.0008779473734282015,0.2924512899497254
10628,,10108694.268752197,389229068.71292466,30700000.0,397.60263535468783,0.005097868630722018,0.0,0.0
10629,,98999693.98759021,389229068.71292466,30700000.0,3864.8508859284752,0.0018787581541460175,0.0,0.04056720016574467
10630,,24681191.147035025,389229068.71292466,30700000.0,979.6036498789763,0.0,0.0029122979972141063,0.004655098002228226
10631,,191989952.54201493,389229068.71292466,30700000.0,5990.619921126176,0.020003620699267904,0.0,0.054037833372921534
10632,,2005455.5072699175,389229068.71292466,30700000.0,48.18186283154671,0.0,0.00029660059201840283,0.0
10633,,36300305.68741292,389229068.71292466,30700000.0,1096.074175202175,0.008269653127583133,0.0,0.004994438911011023
10634,,103083902.39031066,389229068.71292466,30700000.0,4098.071533605588,0.046646745138055425,0.0006080687530454442,0.0
10635,,26244286.095121823,389229068.71292466,30700000.0,1169.81505609257,0.0018100644652287836,0.0,0.01118177534599751
10636,,46585011.12762059,389229068.71292466,30700000.0,1686.2585584601745,0.0,0.00314934061305744,0.011519563542317313
10637,,12478782.423582008,389229068.71292466,30700000.0,400.98575375897553,0.005219994751196574,0.0,0.0
10638,,40030161.582101926,389229068.71292466,30700000.0,1249.3483571252068,0.010227621077669922,0.0,0.004890506987752538
10639,,56024868.280919656,389229068.71292466,30700000.0,1483.7953366003262,0.0018662293984203111,0.006435783334975832,0.0
10640,,245772350.7990089,389229068.71292466,30700000.0,8153.457945664755,0.0,0.0003499482141637442,0.08463046981891785
